Num,baseX,baseY,baseZ,baseR,baseP,baseYaw,base_dX,base_dY,base_dZ,base_dR,base_dP,base_dYaw,LF_HAA,LF_KFE,LF_HFE,LH_HAA,LH_KFE,LH_HFE,RF_HAA,RF_KFE,RF_HFE,RH_HAA,RH_KFE,RH_HFE,dLF_HAA,dLF_KFE,dLF_HFE,dLH_HAA,dLH_KFE,dLH_HFE,dRF_HAA,dRF_KFE,dRF_HFE,dRH_HAA,dRH_KFE,dRH_HFE,P_LFx,P_LFy,P_LFz,P_RFx,P_RFy,P_RFz,P_LHx,P_LHy,P_LHz,P_RHx,P_RHy,P_RHz,F_LFx,F_LFy,F_LFz,F_RFx,F_RFy,F_RFz,F_LHx,F_LHy,F_LHz,F_RHx,F_RHy,F_RHz,User_Command
0,0.557996,-0.1423,-1.45961e-36,1.96518e-31,-3.9317e-31,-0.204439,0.238967,-0.00695303,3.56337e-41,3.7371e-25,-7.47421e-25,-0.0859823,-0.00462337,-1.5694,0.804044,0.00598837,-1.93838,0.951658,-0.00614699,-1.93862,0.964513,-0.00520062,-1.564,0.788653,0.0637095,0.358708,0.696659,0.489613,-0.0379375,-1.45229,-0.533497,-0.0499464,-0.443384,-0.16397,0.440139,0.322121,0.180229,0.167049,-0.198385,0.164522,-0.16532,-0.164218,-0.185602,0.165014,-0.165176,-0.166322,-0.164107,-0.197489,0.241383,-0.147906,0.0228952,0.192608,0.123794,0.0210263,0.0137003,-0.07296,0.113286,0.0241253,0.146914,0.240235,5
1,0.581178,-0.141123,2.01753e-35,3.27925e-31,2.24498e-31,-0.209111,0.275476,0.00697234,-4.96642e-40,5.57944e-25,5.57909e-25,-0.22716,-0.000201191,-1.56451,0.814716,0.0154796,-1.92564,0.918414,-0.0167702,-1.92663,0.950829,-0.00748533,-1.56181,0.790462,0.344292,0.0688251,0.372201,0.435691,1.44148,-1.96158,-0.513815,1.3744,-1.02207,-0.125781,-0.043333,-0.0161457,0.17114,0.164077,-0.199781,0.175765,-0.16598,-0.159201,-0.172202,0.165955,-0.159216,-0.176331,-0.16604,-0.199762,3.88988e-36,-1.53979e-35,1.78077e-35,0,0,0,0,0,0,0.0171651,0.123595,0.322582,3
2,0.586604,-0.142131,7.06329e-36,3.23834e-30,3.22181e-30,-0.215666,0.276221,0.00706617,-8.81109e-41,4.85329e-28,-3.89352e-25,-0.329625,0.0074266,-1.5635,0.81777,0.0229423,-1.88023,0.872679,-0.0250306,-1.88861,0.921449,-0.0107689,-1.56593,0.785685,0.3968,0.0655117,-0.010676,0.29867,3.23105,-2.60056,-0.300706,2.50608,-1.95058,-0.194211,-0.319665,-0.38239,0.17114,0.164077,-0.199781,0.175765,-0.16598,-0.159201,-0.172202,0.165955,-0.159216,-0.176331,-0.16604,-0.199762,0.113745,-0.45878,0.52988,0,0,0,0,0,0,0.139621,-0.034781,0.138431,3
3,0.585441,-0.141103,-1.41255e-35,1.21553e-32,-6.39904e-30,-0.221318,0.263031,0.00799706,1.17526e-40,1.66784e-25,-9.59076e-28,-0.285311,0.015701,-1.56199,0.817991,0.0164321,-1.81264,0.833549,-0.018002,-1.82179,0.87654,-0.0138255,-1.57547,0.780563,0.328593,0.00885454,0.0964411,-1.57504,2.21759,-0.227914,1.68512,3.71583,-2.07339,-0.033972,-0.880374,0.172535,0.168508,0.16496,-0.199937,0.17701,-0.167691,-0.159925,-0.167849,0.167484,-0.159974,-0.176914,-0.166498,-0.199834,0.133658,-0.518875,0.601926,0,0,0,0,0,0,0.0415816,-0.00263765,0.00269886,3
4,0.590614,-0.142102,1.96494e-35,-3.52877e-29,-1.26427e-31,-0.213572,0.263646,0.00809866,-2.45122e-40,-5.28874e-27,-2.42784e-24,0.35286,0.0149944,-1.56763,0.815488,0.00186146,-1.75065,0.807174,-0.00195062,-1.74595,0.840743,-0.0108067,-1.58671,0.784486,-0.331301,-0.576965,-0.392703,-0.489206,5.48844,-2.50892,0.466398,6.51037,-2.77836,0.395205,-0.521208,0.29565,0.168508,0.16496,-0.199937,0.17701,-0.167691,-0.159925,-0.167849,0.167484,-0.159974,-0.176914,-0.166498,-0.199834,0.0458967,1.14456,2.67712,0,0,0,0,0,0,0.95596,-0.442071,-0.0308976,3
5,0.595808,-0.143061,-3.40864e-35,-1.56295e-31,-1.44484e-29,-0.197378,0.264261,0.00820025,4.25212e-40,-8.26694e-25,-1.65552e-24,0.787455,0.0149944,-1.56763,0.815488,0.00186146,-1.75065,0.807174,-0.00195062,-1.74595,0.840743,-0.0108067,-1.58671,0.784486,-0.331301,-0.576965,-0.392703,-0.489206,5.48844,-2.50892,0.466398,6.51037,-2.77836,0.395205,-0.521208,0.29565,0.171323,0.166064,-0.198827,0.178964,-0.164986,-0.193792,-0.16251,0.165034,-0.187629,-0.173818,-0.165805,-0.197446,0.132866,0.0724318,0.514225,0,0,0,1.52062,-0.312469,5.81399,1.19511e-29,9.33008e-30,2.46392e-30,1
6,0.57546,-0.136895,-9.37552e-36,-1.15627e-29,-2.31576e-29,-0.183788,0.211436,0.00968571,7.82153e-41,-1.73246e-27,-3.46855e-27,0.686474,-0.00206302,-1.63522,0.850228,-0.00479451,-1.5931,0.758152,-0.000408142,-1.57597,0.769314,0.00339511,-1.62544,0.856319,0.232726,-2.52519,2.46522,0.601736,1.86007,1.92341,-1.47086,-3.12784,2.1147,0.216432,-1.40772,2.68402,0.171323,0.166064,-0.198827,0.178964,-0.164986,-0.193792,-0.16251,0.165034,-0.187629,-0.173818,-0.165805,-0.197446,0,0,0,0,0,0,3.43631,-1.40228,-0.288604,0,0,0,3
7,0.579654,-0.137476,4.0628e-35,-5.86147e-32,-7.84867e-32,-0.175178,0.211555,0.00980015,-5.06948e-40,-4.61059e-25,-8.82859e-30,0.444092,-0.00206302,-1.63522,0.850228,-0.00479451,-1.5931,0.758152,-0.000408142,-1.57597,0.769314,0.00339511,-1.62544,0.856319,0.232726,-2.52519,2.46522,0.601736,1.86007,1.92341,-1.47086,-3.12784,2.1147,0.216432,-1.40772,2.68402,0.171323,0.166064,-0.198827,0.178964,-0.164986,-0.193792,-0.16251,0.165034,-0.187629,-0.173818,-0.165805,-0.197446,0,0,0,9.2006e-12,7.38096e-12,1.68225e-12,1.11776e-35,-5.13602e-36,-4.97043e-38,0,0,0,2
8,0.584515,-0.140478,6.0794e-37,-9.05515e-30,-2.91742e-34,-0.167214,0.21557,0.0053972,-5.53672e-42,-1.50455e-27,-3.249e-32,0.419751,-0.00206302,-1.63522,0.850228,-0.00479451,-1.5931,0.758152,-0.000408142,-1.57597,0.769314,0.00339511,-1.62544,0.856319,0.232726,-2.52519,2.46522,0.601736,1.86007,1.92341,-1.47086,-3.12784,2.1147,0.216432,-1.40772,2.68402,0.171323,0.166064,-0.198827,0.178964,-0.164986,-0.193792,-0.16251,0.165034,-0.187629,-0.173818,-0.165805,-0.197446,0,0,0,1.66447e-39,1.52846e-38,3.20781e-38,1.4124e-10,1.1506e-10,2.23998e-11,0,0,0,5
9,0.587855,-0.140875,9.53591e-36,1.75323e-33,4.62532e-30,-0.178956,0.204509,0.00483363,-1.21964e-40,2.28718e-31,3.29625e-25,0.0032939,0.0208823,-1.8317,0.95973,0.00813369,-1.573,0.762684,-0.00517137,-1.57111,0.780404,-0.020727,-1.85109,0.927029,0.404329,-3.54417,1.78404,-0.342214,0.115191,0.269732,-0.125279,-0.067372,0.151556,-0.207942,-2.6345,0.215155,0.165854,0.164121,-0.18178,0.175519,-0.166177,-0.199277,-0.169534,0.167651,-0.197608,-0.181179,-0.164616,-0.176894,0,0,0,3.58625e-26,-1.68707e-26,9.57439e-28,0.230505,-0.105986,0.00260487,0,0,0,0
